box_score_id,matchup_id,home
0,0,True
1,0,False
2,1,True
3,1,False
4,2,True
5,2,False
6,3,True
7,3,False
8,4,True
9,4,False
10,5,True
11,5,False
12,6,True
13,6,False
14,7,True
15,7,False
16,8,True
17,8,False
18,9,True
19,9,False
20,10,True
21,10,False
22,11,True
23,11,False
24,12,True
25,12,False
26,13,True
27,13,False
28,14,True
29,14,False
30,15,True
31,15,False
32,16,True
33,16,False
34,17,True
35,17,False
36,18,True
37,18,False
38,19,True
39,19,False
40,20,True
41,20,False
42,21,True
43,21,False
44,22,True
45,22,False
46,23,True
47,23,False
48,24,True
49,24,False
50,25,True
51,25,False
52,26,True
53,26,False
54,27,True
55,27,False
56,28,True
57,28,False
58,29,True
59,29,False
60,30,True
61,30,False
62,31,True
63,31,False
64,32,True
65,32,False
66,33,True
67,33,False
68,34,True
69,34,False
70,35,True
71,35,False
72,36,True
73,36,False
74,37,True
75,37,False
76,38,True
77,38,False
78,39,True
79,39,False
80,40,True
81,40,False
82,41,True
83,41,False
84,42,True
85,42,False
86,43,True
87,43,False
88,44,True
89,44,False
90,45,True
91,45,False
92,46,True
93,46,False
94,47,True
95,47,False
96,48,True
97,48,False
98,49,True
99,49,False
100,50,True
101,50,False
102,51,True
103,51,False
104,52,True
105,52,False
106,53,True
107,53,False
108,54,True
109,54,False
110,55,True
111,55,False
112,56,True
113,56,False
114,57,True
115,57,False
116,58,True
117,58,False
118,59,True
119,59,False
120,60,True
121,60,False
122,61,True
123,61,False
124,62,True
125,62,False
126,63,True
127,63,False
128,64,True
129,64,False
130,65,True
131,65,False
132,66,True
133,66,False
134,67,True
135,67,False
136,68,True
137,68,False
138,69,True
139,69,False
140,70,True
141,70,False
142,71,True
143,71,False
144,72,True
145,72,False
146,73,True
147,73,False
148,74,True
149,74,False
150,75,True
151,75,False
152,76,True
153,76,False
154,77,True
155,77,False
156,78,True
157,78,False
158,79,True
159,79,False
160,80,True
161,80,False
162,81,True
163,81,False
164,82,True
165,82,False
166,83,True
167,83,False
168,84,True
169,84,False
170,85,True
171,85,False
172,86,True
173,86,False
174,87,True
175,87,False
176,88,True
177,88,False
178,89,True
179,89,False
180,90,True
181,90,False
182,91,True
183,91,False
184,92,True
185,92,False
186,93,True
187,93,False
188,94,True
189,94,False
190,95,True
191,95,False
192,96,True
193,96,False
194,97,True
195,97,False
196,98,True
197,98,False
198,99,True
199,99,False
200,100,True
201,100,False
202,101,True
203,101,False
204,102,True
205,102,False
206,103,True
207,103,False
208,104,True
209,104,False
210,105,True
211,105,False
212,106,True
213,106,False
214,107,True
215,107,False
216,108,True
217,108,False
218,109,True
219,109,False
220,110,True
221,110,False
222,111,True
223,111,False
224,112,True
225,112,False
226,113,True
227,113,False
228,114,True
229,114,False
230,115,True
231,115,False
232,116,True
233,116,False
234,117,True
235,117,False
236,118,True
237,118,False
238,119,True
239,119,False
240,120,True
241,120,False
242,121,True
243,121,False
244,122,True
245,122,False
246,123,True
247,123,False
248,124,True
249,124,False
250,125,True
251,125,False
252,126,True
253,126,False
254,127,True
255,127,False
256,128,True
257,128,False
258,129,True
259,129,False
260,130,True
261,130,False
262,131,True
263,131,False
264,132,True
265,132,False
266,133,True
267,133,False
268,134,True
269,134,False
270,135,True
271,135,False
272,136,True
273,136,False
274,137,True
275,137,False
276,138,True
277,138,False
278,139,True
279,139,False
280,140,True
281,140,False
282,141,True
283,141,False
284,142,True
285,142,False
286,143,True
287,143,False
288,144,True
289,144,False
290,145,True
291,145,False
292,146,True
293,146,False
294,147,True
295,147,False
296,148,True
297,148,False
298,149,True
299,149,False
300,150,True
301,150,False
302,151,True
303,151,False
304,152,True
305,152,False
306,153,True
307,153,False
308,154,True
309,154,False
310,155,True
311,155,False
312,156,True
313,156,False
314,157,True
315,157,False
316,158,True
317,158,False
318,159,True
319,159,False
320,160,True
321,160,False
322,161,True
323,161,False
324,162,True
325,162,False
326,163,True
327,163,False
328,164,True
329,164,False
330,165,True
331,165,False
332,166,True
333,166,False
334,167,True
335,167,False
336,168,True
337,168,False
338,169,True
339,169,False
340,170,True
341,170,False
342,171,True
343,171,False
344,172,True
345,172,False
346,173,True
347,173,False
348,174,True
349,174,False
350,175,True
351,175,False
352,176,True
353,176,False
354,177,True
355,177,False
356,178,True
357,178,False
358,179,True
359,179,False
360,180,True
361,180,False
362,181,True
363,181,False
364,182,True
365,182,False
366,183,True
367,183,False
368,184,True
369,184,False
370,185,True
371,185,False
372,186,True
373,186,False
374,187,True
375,187,False
376,188,True
377,188,False
378,189,True
379,189,False
380,190,True
381,190,False
382,191,True
383,191,False
384,192,True
385,192,False
386,193,True
387,193,False
388,194,True
389,194,False
390,195,True
391,195,False
392,196,True
393,196,False
394,197,True
395,197,False
396,198,True
397,198,False
398,199,True
399,199,False
400,200,True
401,200,False
402,201,True
403,201,False
404,202,True
405,202,False
406,203,True
407,203,False
408,204,True
409,204,False
410,205,True
411,205,False
412,206,True
413,206,False
414,207,True
415,207,False
416,208,True
417,208,False
418,209,True
419,209,False
420,210,True
421,210,False
422,211,True
423,211,False
424,212,True
425,212,False
426,213,True
427,213,False
428,214,True
429,214,False
430,215,True
431,215,False
432,216,True
433,216,False
434,217,True
435,217,False
436,218,True
437,218,False
438,219,True
439,219,False
440,220,True
441,220,False
442,221,True
443,221,False
444,222,True
445,222,False
446,223,True
447,223,False
448,224,True
449,224,False
450,225,True
451,225,False
452,226,True
453,226,False
454,227,True
455,227,False
456,228,True
457,228,False
458,229,True
459,229,False
460,230,True
461,230,False
462,231,True
463,231,False
464,232,True
465,232,False
466,233,True
467,233,False
468,234,True
469,234,False
470,235,True
471,235,False
472,236,True
473,236,False
474,237,True
475,237,False
476,238,True
477,238,False
478,239,True
479,239,False
480,240,True
481,240,False
482,241,True
483,241,False
484,242,True
485,242,False
486,243,True
487,243,False
488,244,True
489,244,False
490,245,True
491,245,False
492,246,True
493,246,False
494,247,True
495,247,False
496,248,True
497,248,False
498,249,True
499,249,False
500,250,True
501,250,False
502,251,True
503,251,False
504,252,True
505,252,False
506,253,True
507,253,False
508,254,True
509,254,False
510,255,True
511,255,False
512,256,True
513,256,False
514,257,True
515,257,False
516,258,True
517,258,False
518,259,True
519,259,False
520,260,True
521,260,False
522,261,True
523,261,False
524,262,True
525,262,False
526,263,True
527,263,False
528,264,True
529,264,False
530,265,True
531,265,False
532,266,True
533,266,False
534,267,True
535,267,False
536,268,True
537,268,False
538,269,True
539,269,False
540,270,True
541,270,False
542,271,True
543,271,False
544,272,True
545,272,False
546,273,True
547,273,False
548,274,True
549,274,False
550,275,True
551,275,False
